resume_text,label
"bachelor of computer science. worked for 10 years of experience in software development. skilled in python, react, deep learning. built projects including web app.",0
"master of data science. worked for 10 years of experience in software development. skilled in tensorflow, react, pandas. built projects including api development.",0
"bachelor of information technology. worked for 1 years of experience in software development. skilled in java, machine learning, react. built projects including api development, recommendation system, web app.",0
"master of data science. worked for 10 years of experience in software development. skilled in docker, machine learning, nlp, numpy, deep learning, python, node. built projects including automation project.",1
"master of data science. worked for 3 years of experience in software development. skilled in sql, machine learning, aws, java, numpy. built projects including recommendation system, data pipeline.",1
"master of data science. worked for 7 years of experience in software development. skilled in node, python, nlp, pandas, java. built projects including recommendation system, api development.",1
"bachelor of computer science. worked for 10 years of experience in software development. skilled in aws, numpy, machine learning, java, python, tensorflow, docker. built projects including recommendation system, web app.",1
"bachelor of information technology. worked for 5 years of experience in software development. skilled in nlp, tensorflow, aws, sql, react. built projects including web app, data pipeline.",1
"master of data science. worked for 10 years of experience in software development. skilled in numpy, tensorflow, sql. built projects including automation project, web app, api development.",0
"bachelor of computer science. worked for 5 years of experience in software development. skilled in tensorflow, react, pandas, machine learning, aws. built projects including web app.",1
"bachelor of computer science. worked for 3 years of experience in software development. skilled in deep learning, java, machine learning, numpy, aws, tensorflow. built projects including cloud deployment, automation project, api development.",1
"master of data science. worked for 3 years of experience in software development. skilled in machine learning, react, pandas, tensorflow. built projects including automation project, api development.",1
"bachelor of computer science. worked for 7 years of experience in software development. skilled in aws, machine learning, sql, pandas, nlp, java. built projects including recommendation system.",1
"master of data science. worked for 10 years of experience in software development. skilled in node, tensorflow, docker, numpy. built projects including cloud deployment.",1
"master of data science. worked for 7 years of experience in software development. skilled in pandas, deep learning, node, python, java, react. built projects including data pipeline, recommendation system, automation project.",1
"bachelor of computer science. worked for 2 years of experience in software development. skilled in python, react, deep learning, pandas, sql, java. built projects including data pipeline, api development, web app.",1
"bachelor of computer science. worked for 3 years of experience in software development. skilled in pandas, node, python, numpy. built projects including cloud deployment, recommendation system.",1
"master of data science. worked for 3 years of experience in software development. skilled in machine learning, python, node, numpy, java. built projects including automation project.",1
"bachelor of information technology. worked for 1 years of experience in software development. skilled in node, sql, react, nlp, pandas, tensorflow, numpy. built projects including api development, cloud deployment, web app.",0
"bachelor of computer science. worked for 10 years of experience in software development. skilled in react, deep learning, docker, aws. built projects including api development, cloud deployment.",1
"bachelor of computer science. worked for 2 years of experience in software development. skilled in java, aws, python, numpy. built projects including web app, api development, automation project.",1
"bachelor of computer science. worked for 1 years of experience in software development. skilled in machine learning, java, python. built projects including recommendation system, api development.",0
"bachelor of computer science. worked for 3 years of experience in software development. skilled in machine learning, pandas, sql, numpy, nlp, node. built projects including cloud deployment, web app.",1
"bachelor of information technology. worked for 1 years of experience in software development. skilled in aws, docker, react, nlp, python, java. built projects including cloud deployment.",0
"bachelor of computer science. worked for 3 years of experience in software development. skilled in machine learning, node, react. built projects including cloud deployment, web app, automation project.",0
"bachelor of computer science. worked for 3 years of experience in software development. skilled in machine learning, java, nlp, pandas, react, python. built projects including api development, recommendation system, automation project.",1
"master of data science. worked for 2 years of experience in software development. skilled in nlp, node, machine learning, docker, python, sql. built projects including recommendation system, cloud deployment.",1
"bachelor of computer science. worked for 5 years of experience in software development. skilled in docker, react, pandas, nlp, sql. built projects including data pipeline.",1
"bachelor of computer science. worked for 1 years of experience in software development. skilled in react, pandas, python, aws, tensorflow, node, deep learning. built projects including api development, automation project.",0
"bachelor of computer science. worked for 1 years of experience in software development. skilled in java, sql, node, numpy, tensorflow, machine learning, nlp. built projects including api development.",0
"bachelor of information technology. worked for 7 years of experience in software development. skilled in python, numpy, java, docker, pandas, aws, sql. built projects including automation project.",1
"bachelor of computer science. worked for 3 years of experience in software development. skilled in deep learning, docker, sql, node. built projects including data pipeline, recommendation system.",1
"master of data science. worked for 5 years of experience in software development. skilled in numpy, java, react, pandas, machine learning, deep learning, tensorflow. built projects including recommendation system, web app.",1
"bachelor of information technology. worked for 3 years of experience in software development. skilled in nlp, pandas, deep learning, numpy. built projects including api development, recommendation system, data pipeline.",1
"master of data science. worked for 1 years of experience in software development. skilled in deep learning, java, react, pandas. built projects including data pipeline.",0
"bachelor of computer science. worked for 7 years of experience in software development. skilled in react, aws, machine learning, deep learning. built projects including cloud deployment, data pipeline, recommendation system.",1
"master of data science. worked for 10 years of experience in software development. skilled in deep learning, python, react, aws, sql, node. built projects including automation project.",1
"bachelor of computer science. worked for 7 years of experience in software development. skilled in pandas, python, java, tensorflow, sql, react. built projects including api development, automation project.",1
"bachelor of information technology. worked for 5 years of experience in software development. skilled in python, deep learning, aws, node. built projects including web app, automation project.",1
"bachelor of computer science. worked for 1 years of experience in software development. skilled in node, pandas, docker, numpy, sql. built projects including web app.",0
"master of data science. worked for 5 years of experience in software development. skilled in sql, react, aws. built projects including automation project, web app.",0
"master of data science. worked for 2 years of experience in software development. skilled in docker, python, nlp. built projects including web app.",0
"bachelor of computer science. worked for 3 years of experience in software development. skilled in node, machine learning, react, python, tensorflow. built projects including data pipeline, automation project.",1
"master of data science. worked for 3 years of experience in software development. skilled in tensorflow, pandas, docker, react, aws. built projects including recommendation system.",1
"bachelor of information technology. worked for 2 years of experience in software development. skilled in deep learning, python, java, numpy, docker, aws, nlp. built projects including cloud deployment, api development.",1
"master of data science. worked for 1 years of experience in software development. skilled in numpy, machine learning, deep learning, python, docker, node. built projects including api development, web app, data pipeline.",0
"master of data science. worked for 1 years of experience in software development. skilled in numpy, aws, tensorflow, java, deep learning. built projects including data pipeline, cloud deployment, automation project.",0
"master of data science. worked for 10 years of experience in software development. skilled in pandas, sql, machine learning, docker, numpy. built projects including automation project, web app, data pipeline.",1
"bachelor of information technology. worked for 7 years of experience in software development. skilled in deep learning, node, machine learning. built projects including api development, automation project.",0
"bachelor of information technology. worked for 3 years of experience in software development. skilled in nlp, node, tensorflow, machine learning, pandas, react. built projects including web app, recommendation system, data pipeline.",1
"bachelor of computer science. worked for 10 years of experience in software development. skilled in aws, java, machine learning, deep learning, tensorflow, pandas, react. built projects including recommendation system.",1
"bachelor of information technology. worked for 5 years of experience in software development. skilled in node, java, nlp, docker, machine learning, numpy, pandas. built projects including web app, automation project.",1
"bachelor of information technology. worked for 10 years of experience in software development. skilled in node, java, docker. built projects including web app.",0
"bachelor of information technology. worked for 7 years of experience in software development. skilled in python, pandas, machine learning, java, nlp, sql. built projects including automation project, api development.",1
"master of data science. worked for 7 years of experience in software development. skilled in node, nlp, numpy, pandas, docker. built projects including cloud deployment, web app, automation project.",1
"bachelor of computer science. worked for 3 years of experience in software development. skilled in tensorflow, deep learning, pandas, nlp. built projects including web app, data pipeline, cloud deployment.",1
"bachelor of computer science. worked for 10 years of experience in software development. skilled in machine learning, deep learning, aws, tensorflow, pandas. built projects including web app.",1
"master of data science. worked for 2 years of experience in software development. skilled in react, sql, machine learning, java, docker, pandas. built projects including api development, cloud deployment.",1
"master of data science. worked for 1 years of experience in software development. skilled in docker, node, numpy, python. built projects including cloud deployment, automation project, recommendation system.",0
"master of data science. worked for 3 years of experience in software development. skilled in docker, pandas, react, numpy, machine learning, nlp. built projects including data pipeline.",1
"bachelor of computer science. worked for 5 years of experience in software development. skilled in docker, aws, tensorflow. built projects including cloud deployment, web app, automation project.",0
"bachelor of computer science. worked for 7 years of experience in software development. skilled in python, docker, numpy, tensorflow, node, java, aws. built projects including web app, cloud deployment.",1
"master of data science. worked for 1 years of experience in software development. skilled in docker, aws, machine learning, nlp, react. built projects including cloud deployment, data pipeline.",0
"bachelor of computer science. worked for 3 years of experience in software development. skilled in nlp, python, pandas. built projects including data pipeline.",0
"bachelor of computer science. worked for 10 years of experience in software development. skilled in node, tensorflow, python. built projects including web app.",0
"bachelor of information technology. worked for 1 years of experience in software development. skilled in sql, machine learning, node, nlp, java, react, numpy. built projects including data pipeline, automation project, web app.",0
"bachelor of computer science. worked for 7 years of experience in software development. skilled in node, sql, deep learning. built projects including api development.",0
"bachelor of information technology. worked for 3 years of experience in software development. skilled in tensorflow, docker, react, machine learning, java, numpy, python. built projects including data pipeline, api development, recommendation system.",1
"master of data science. worked for 1 years of experience in software development. skilled in pandas, docker, tensorflow, aws, java. built projects including automation project, data pipeline, recommendation system.",0
"master of data science. worked for 5 years of experience in software development. skilled in docker, aws, tensorflow. built projects including automation project, web app.",0
"bachelor of computer science. worked for 2 years of experience in software development. skilled in tensorflow, deep learning, numpy, pandas, nlp, node, machine learning. built projects including api development, data pipeline, automation project.",1
"master of data science. worked for 1 years of experience in software development. skilled in nlp, machine learning, node, numpy, docker. built projects including recommendation system, cloud deployment.",0
"bachelor of computer science. worked for 2 years of experience in software development. skilled in machine learning, aws, deep learning, react, tensorflow, pandas. built projects including recommendation system, api development, web app.",1
"master of data science. worked for 2 years of experience in software development. skilled in nlp, pandas, machine learning, node, numpy, react. built projects including recommendation system.",1
"bachelor of information technology. worked for 2 years of experience in software development. skilled in react, machine learning, deep learning, numpy, aws, nlp. built projects including api development, data pipeline, cloud deployment.",1
"bachelor of information technology. worked for 7 years of experience in software development. skilled in aws, react, nlp, deep learning, numpy. built projects including web app, recommendation system.",1
"master of data science. worked for 2 years of experience in software development. skilled in java, react, pandas, sql, machine learning. built projects including automation project.",1
"bachelor of computer science. worked for 3 years of experience in software development. skilled in node, pandas, numpy, deep learning, java, machine learning, sql. built projects including data pipeline.",1
"bachelor of information technology. worked for 3 years of experience in software development. skilled in react, pandas, sql. built projects including recommendation system, automation project.",0
"master of data science. worked for 3 years of experience in software development. skilled in tensorflow, nlp, java, python. built projects including data pipeline, cloud deployment, api development.",1
"master of data science. worked for 3 years of experience in software development. skilled in python, deep learning, nlp, java. built projects including cloud deployment.",1
"bachelor of information technology. worked for 1 years of experience in software development. skilled in tensorflow, node, python, sql, numpy, deep learning, react. built projects including recommendation system.",0
"master of data science. worked for 5 years of experience in software development. skilled in numpy, node, machine learning, pandas, docker, nlp, tensorflow. built projects including api development, cloud deployment.",1
"bachelor of computer science. worked for 7 years of experience in software development. skilled in python, numpy, java, machine learning, react, deep learning, aws. built projects including web app.",1
"master of data science. worked for 2 years of experience in software development. skilled in java, sql, python, docker, nlp, pandas, react. built projects including web app.",1
"bachelor of computer science. worked for 10 years of experience in software development. skilled in react, nlp, java, machine learning, deep learning. built projects including api development, web app, cloud deployment.",1
"bachelor of computer science. worked for 7 years of experience in software development. skilled in tensorflow, sql, deep learning, react. built projects including recommendation system.",1
"master of data science. worked for 3 years of experience in software development. skilled in react, numpy, deep learning, nlp, java, node, aws. built projects including automation project, cloud deployment.",1
"bachelor of computer science. worked for 7 years of experience in software development. skilled in nlp, node, java, numpy, python, docker, aws. built projects including api development, data pipeline.",1
"bachelor of computer science. worked for 1 years of experience in software development. skilled in tensorflow, numpy, react, python. built projects including data pipeline, api development, recommendation system.",0
"master of data science. worked for 5 years of experience in software development. skilled in tensorflow, nlp, deep learning, sql, docker, react, python. built projects including data pipeline, cloud deployment.",1
"bachelor of information technology. worked for 3 years of experience in software development. skilled in sql, aws, docker. built projects including cloud deployment, data pipeline, automation project.",0
"master of data science. worked for 1 years of experience in software development. skilled in java, aws, deep learning, react, node, docker. built projects including recommendation system, api development, cloud deployment.",0
"master of data science. worked for 1 years of experience in software development. skilled in pandas, aws, numpy, nlp. built projects including cloud deployment, recommendation system, web app.",0
"bachelor of information technology. worked for 7 years of experience in software development. skilled in deep learning, nlp, react, java. built projects including automation project.",1
"bachelor of computer science. worked for 2 years of experience in software development. skilled in deep learning, pandas, python, react. built projects including recommendation system, web app.",1
"master of data science. worked for 5 years of experience in software development. skilled in tensorflow, sql, nlp. built projects including data pipeline, api development, automation project.",0
"master of data science. worked for 5 years of experience in software development. skilled in machine learning, nlp, pandas, sql, docker, node. built projects including api development, web app, recommendation system.",1
"bachelor of computer science. worked for 5 years of experience in software development. skilled in node, pandas, deep learning, python, tensorflow. built projects including data pipeline, api development, cloud deployment.",1
